frame,time_seconds,player_id,confidence,x1,y1,x2,y2,ground_x,ground_y,inside_forward50,zone
19,0.38,1,0.6612,1378.6,708.54,1416.45,812.76,1397.53,812.76,True,central_corridor
19,0.38,2,0.7067,1480.81,847.45,1535.6,984.98,1508.21,984.98,False,outside
19,0.38,4,0.6436,99.0,574.64,128.29,641.29,113.65,641.29,True,left_pocket
19,0.38,5,0.6114,1418.0,721.63,1458.12,825.23,1438.06,825.23,True,central_corridor
19,0.38,6,0.5597,1040.14,528.9,1062.57,602.09,1051.35,602.09,True,left_half_forward
19,0.38,7,0.6349,955.8,554.68,984.08,617.96,969.94,617.96,True,left_half_forward
19,0.38,9,0.4033,221.66,493.1,244.8,545.26,233.23,545.26,False,outside
19,0.38,13,0.3548,486.32,495.6,508.61,549.66,497.47,549.66,True,left_pocket
19,0.38,15,0.4028,1345.32,614.26,1375.44,687.01,1360.38,687.01,True,central_corridor
20,0.4,1,0.6418,1378.4,708.27,1415.24,812.78,1396.82,812.78,True,central_corridor
20,0.4,2,0.7055,1480.94,847.52,1535.43,984.98,1508.18,984.98,False,outside
20,0.4,4,0.6342,98.95,574.74,128.3,641.45,113.62,641.45,True,left_pocket
20,0.4,5,0.6151,1416.01,722.51,1457.38,826.04,1436.69,826.04,True,central_corridor
20,0.4,6,0.5544,1041.11,528.2,1063.32,601.65,1052.22,601.65,True,left_half_forward
20,0.4,7,0.6241,956.54,554.32,984.35,618.01,970.45,618.01,True,left_half_forward
20,0.4,9,0.4049,221.46,493.11,244.9,545.13,233.18,545.13,False,outside
20,0.4,15,0.4027,1345.37,614.09,1375.4,687.34,1360.39,687.34,True,central_corridor
21,0.42,1,0.6399,1377.17,707.68,1416.15,813.62,1396.66,813.62,True,central_corridor
21,0.42,2,0.7002,1480.96,847.71,1534.87,984.91,1507.91,984.91,False,outside
21,0.42,4,0.6305,98.98,574.84,128.08,642.82,113.53,642.82,True,left_pocket
21,0.42,5,0.6177,1415.05,724.88,1454.26,827.16,1434.65,827.16,True,central_corridor
